scenario,label,effTotalElectricalFuelMassEfficiency,effTotalElectricalFuelMassEfficiency_lowerError,effTotalElectricalFuelMassEfficiency_upperError,
Pinene_CBB_EEU,"Pinene_CBB_EEU",120110.92369663778,18016.638554495657,5459.587440756266
Limonene_CBB_EEU,"Limonene_CBB_EEU",120110.92369663778,18016.638554495657,5459.587440756266
Geraniol_CBB_EEU,"Geraniol_CBB_EEU",106086.95134152306,15913.042701228449,4822.134151887411
Farnesene_CBB_EEU,"Farnesene_CBB_EEU",120110.92369663778,18016.63855449563,5459.587440756266
Bisabolene_CBB_EEU,"Bisabolene_CBB_EEU",120116.80140271543,18017.52021040728,5459.8546092143515
Pinene_CBB_H2,"Pinene_CBB_H2",113312.1921666394,16996.828824995915,2266.2438433327625
Limonene_CBB_H2,"Limonene_CBB_H2",113312.1921666394,16996.828824995915,2266.2438433327625
Geraniol_CBB_H2,"Geraniol_CBB_H2",100082.02956747459,15012.304435121172,2001.6405913494818
Farnesene_CBB_H2,"Farnesene_CBB_H2",113312.19216663942,16996.828824995915,2266.2438433327916
Bisabolene_CBB_H2,"Bisabolene_CBB_H2",113317.73717237303,16997.66057585599,2266.3547434474604
