Scenario,ATP,NADH,Fdred,Sulfate,N2,CO2,HCO2-,H2O,Hplus,CO,Target Molecule,Target,
pinene_CBB,48.00328408762641,28.00218263574949,-0.0,-0.0,-0.0,10.001125020595273,-0.0,2.000158288586875,4.000163519914747,-0.0,Pinene,1.0
limonene_CBB,48.00328408762641,28.00218263574949,-0.0,-0.0,-0.0,10.001125020595273,-0.0,2.000158288586875,4.000163519914747,-0.0,Limonene,1.0
farnesene_CBB,71.99812800564511,41.99892758481075,-0.0,-0.0,-0.0,14.99917565758603,-0.0,2.9999498716330635,6.00015512855945,-0.0,Farnesene,1.0
bisabolene_CBB,71.99812800564511,41.99892758481075,-0.0,-0.0,-0.0,14.99917565758603,-0.0,2.9999498716330635,6.00015512855945,-0.0,Bisabolene,1.0
geraniol_CBB,48.00328408762641,28.00218263574949,-0.0,-0.0,-0.0,10.001125020595273,-0.0,3.0001582885868756,4.000163519914747,-0.0,Geraniol,1.0
undecanoicacidADO_CBB,39.01124124158185,33.00890385836855,-0.0,-0.0,-0.0,10.003612318060723,-0.0,-0.9997115672474521,6.00012870343731,-0.0,Decane,1.0
dodecanoicacidADO_CBB,46.96253074838028,35.973093707892865,-0.0,-0.0,-0.0,10.99092324467659,-0.0,-1.0001011238220359,6.995579879324884,-0.0,Undecane,1.0
tridecanoicacidADO_CBB,47.094252450278724,39.07095094445755,-0.0,-0.0,-0.0,12.026221527759105,-0.0,-0.998275336135381,7.007648115054303,-0.0,Dodecane,1.0
tetradecanoicacidADO_CBB,54.91705223596022,41.93860805340342,-0.0,-0.0,-0.0,12.97709949798715,-0.0,-1.0009664110049579,7.992341096133952,-0.0,Tridecane,1.0
pentadecanoicacidADO_CBB,54.956529107507066,44.95548971257228,-0.0,-0.0,-0.0,13.98872739076471,-0.0,-0.9951821205249303,7.9840383873028316,-0.0,Tetradecane,1.0
hexadecanoicacidADO_CBB,63.051423222556394,48.03810063808859,-0.0,-0.0,-0.0,15.01342884428206,-0.0,-0.9997169068878247,9.005700776042836,-0.0,Pentadecane,1.0
heptadecanoicacidADO_CBB,63.02489910892204,51.01988550575671,-0.0,-0.0,-0.0,16.007382880934628,-0.0,-0.999626905271601,9.001491735973543,-0.0,Hexadecane,1.0
undecanoicacidMCH_CBB,39.01411144565894,31.01164072154524,-0.0,-0.0,-0.0,10.00390383055796,-0.0,0.9999730371209118,4.00136192729012,-0.0,Decane,1.0
dodecanoicacidMCH_CBB,47.00895303488694,34.00876528569761,-0.0,-0.0,-0.0,11.001904572089298,-0.0,0.9990354737707863,5.003231134438745,-0.0,Undecane,1.0
tridecanoicacidMCH_CBB,46.9945017885138,36.99882851671997,-0.0,-0.0,-0.0,11.998400034553537,-0.0,0.9991465260776898,5.000859428053484,-0.0,Dodecane,1.0
tetradecanoicacidMCH_CBB,54.754728876898184,39.816379931494964,-0.0,-0.0,-0.0,12.937896860296355,-0.0,1.0009165288966038,5.969830344929255,-0.0,Tridecane,1.0
pentadecanoicacidMCH_CBB,54.98796844469404,42.990519245917646,-0.0,-0.0,-0.0,13.996569523406105,-0.0,0.9996984627640232,5.9992464411334,-0.0,Tetradecane,1.0
hexadecanoicacidMCH_CBB,62.96768022739906,45.979652713036735,-0.0,-0.0,-0.0,14.992192716081167,-0.0,0.9996829310473566,6.998381740755879,-0.0,Pentadecane,1.0
heptadecanoicacidMCH_CBB,62.91453977542196,48.930141494483706,-0.0,-0.0,-0.0,15.97870891028447,-0.0,1.0022811593656997,6.985248410314397,-0.0,Hexadecane,1.0
