"3-Oxodecanoyl-CoA",Intermediate
"3-Oxohexanoyl-CoA",Intermediate
"3-Oxooctanoyl-CoA",Intermediate
"3R-3-Hydroxybutanoyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Input/Output
"But-2-enoyl-CoA",Intermediate
"Butanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"Decanoic acid",Intermediate
"Decanoyl-CoA",Intermediate
"Decanal",Intermediate
"Formate",Intermediate
"H2O",Input/Output
"HCO3-",Intermediate
"Hexanoyl-CoA",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Nonane",Target
"Octanoyl-CoA",Intermediate
"Orthophosphate",Input/Output
"Oxygen",Input/Output
"S-Hydroxydecanoyl-CoA",Intermediate
"S-Hydroxyhexanoyl-CoA",Intermediate
"S-Hydroxyoctanoyl-CoA",Intermediate
"trans-dec-2-enoyl-CoA",Intermediate
"trans-hex-2-enoyl-CoA",Intermediate
"trans-oct-2-enoyl-CoA",Intermediate
